caller_name,caller_fullName,caller_file,call_line,callee,call_file,callee_kind,resolved_defs
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.indirectFieldAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.addressOf,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.indirectFieldAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.addressOf,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.indirectIndexAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.indirectFieldAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.indirectFieldAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.addressOf,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.indirectIndexAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.indirectFieldAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.cast,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.addition,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.indirectFieldAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.addressOf,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.indirectIndexAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3504,<operator>.indirectFieldAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3511,vListInsertEnd,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,function,/home/zwz/FreeRTOS/FreeRTOS/Source/list.c:105-136
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3511,<operator>.addressOf,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3511,<operator>.addressOf,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3511,<operator>.indirectFieldAccess,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
